subject,session,trial,class,channel,artifact,peak_abs_uv,theta_baseline,theta_mi,beta_baseline,beta_mi,mu_baseline,mu_mi,theta_beta_baseline,theta_beta_mi,theta_beta_change_pct,mu_erd_pct,beta_erd_pct
A18,A18_R1_acquisition,1,RIGHT,C3,False,7.557131036563112,6.850009945407577e-13,3.3540736695382625e-13,1.7277860051947677e-12,1.9318636558715803e-12,2.370687829058384e-13,2.5498441311533636e-13,0.3964617102356607,0.17361855011579672,-56.20799042293488,-7.557144382275708,-11.811511961737855
A18,A18_R1_acquisition,1,RIGHT,Cz,False,7.557131036563112,2.7849829777490687e-13,9.956724603365391e-13,8.579901691984674e-13,6.109870800567783e-13,4.612682378972572e-13,3.2096864812515644e-13,0.3245938097811533,1.6296129539171476,402.04683663433394,30.41605257965997,28.78856868167136
A18,A18_R1_acquisition,1,RIGHT,C4,False,7.557131036563112,4.221795148721093e-13,3.253284422043395e-13,1.1288587571344984e-12,1.1911855553214356e-12,2.1617077730124455e-13,3.6854954820845253e-13,0.37398789902092994,0.2731131524815638,-26.972730081226704,-70.48999536827344,-5.521222012322242
A18,A18_R1_acquisition,2,LEFT,C3,False,8.872676893027268,2.3628395785877177e-13,3.035222355618326e-13,2.3486065940584736e-12,1.9884046216695618e-12,9.071514309502454e-13,4.387901462558799e-13,0.10060601824780918,0.1526461124934323,51.72662148047625,51.62988986345475,15.33683731026533
A18,A18_R1_acquisition,2,LEFT,Cz,False,8.872676893027268,6.358810418990136e-13,4.1581222405151206e-13,1.0239004044270342e-12,4.495679285206259e-13,3.2249358818570887e-13,5.459429369570774e-13,0.6210379829421466,0.9249152300961674,48.93054136792286,-69.28799732994833,56.09261149064588
A18,A18_R1_acquisition,2,LEFT,C4,False,8.872676893027268,4.863011082649009e-13,3.671780887004932e-13,9.794852493965604e-13,1.103852708028024e-12,8.517116774711896e-13,1.80077606195991e-13,0.496486403000454,0.3326332272685528,-33.00255047100481,78.85697578661149,-12.6972262939216
A18,A18_R1_acquisition,3,RIGHT,C3,False,8.310876769530422,7.024627083526878e-13,4.3196956134645925e-13,2.1436584455391354e-12,1.4556136368891362e-12,4.783170276214287e-13,1.2702781714468585e-12,0.32769339248726104,0.2967611393567614,-9.439388721181526,-165.57243378177193,32.0967554361
A18,A18_R1_acquisition,3,RIGHT,Cz,False,8.310876769530422,7.071283063446971e-13,8.888125313773909e-13,5.834154298822802e-13,5.120072843774263e-13,3.327061346082123e-13,5.418287329364482e-13,1.2120493736125204,1.7359372776466253,43.223313788996386,-62.85504731510112,12.239673798010866
A18,A18_R1_acquisition,3,RIGHT,C4,False,8.310876769530422,4.052212569188924e-13,4.596316175972748e-13,1.1758015967144653e-12,1.246414461409313e-12,2.1887465618714908e-13,2.0608547764578606e-12,0.34463404204518816,0.3687630654393822,7.001346486552323,-841.5684814123586,-6.005508488180384
A18,A18_R1_acquisition,4,LEFT,C3,False,8.647433854139498,2.521563617040685e-13,6.529727707799621e-13,4.093118488491298e-12,2.1760542467407984e-12,2.9747613919505716e-13,6.541877065553083e-13,0.061604950458449104,0.30007191767298863,387.0905916487655,-119.91266537392865,46.836275254204025
